_id,processo_numero,processo_ocorrencia
597,8135265919,Imoveis com Danos/Risco
598,8135262019,Imoveis com Danos/Risco
599,8135247218,Não há Ocorrência para essa Solicitação
600,8135247218,Muro com Danos
601,8135214718,Não há Ocorrência para essa Solicitação
602,8135140119,Imoveis com Danos/Risco
603,8135125418,Imoveis com Danos/Risco
604,8135073219,Muro com Danos
605,8135073219,Imoveis com Danos/Risco
606,8135031018,Não há Ocorrência para essa Solicitação
607,8134992419,Imoveis com Danos/Risco
608,8134992419,Muro com Danos
609,8134920518,Não há Ocorrência para essa Solicitação
610,8134830419,Imoveis com Danos/Risco
611,8134824419,Imoveis com Danos/Risco
612,8134824419,Não há Ocorrência para essa Solicitação
